ancestry,age_group,sex,district,year,value
Descendants of non-western origin,0-10 years,Men,Amager Vest,1986,109.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1987,136.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1988,163.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1989,168.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1990,189.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1991,184.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1992,185.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1993,228.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1994,262.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1995,311.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1996,339.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1997,379.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1998,418.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1999,450.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2000,480.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2001,531.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2002,553.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2003,582.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2004,590.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2005,583.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2006,627.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2007,622.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2008,599.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2009,574.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2010,542.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2011,543.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2012,523.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2013,502.0
