income_type,sex,unit,district,year,value
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1987,1412832.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1988,1471123.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1989,1524348.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1990,1548421.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1991,1577156.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1992,1617783.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1993,1651391.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1994,1748587.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1995,1856504.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1996,1935301.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1997,2025280.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1998,2142084.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,1999,2255281.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2000,2355507.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2001,2453596.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2002,2550086.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2003,2626653.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2004,2848452.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2005,3159579.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2006,3515211.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2007,3763724.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2008,3987023.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2009,4222471.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2010,4707854.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2011,4978744.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2012,5261908.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2013,5614611.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2014,5862251.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2015,6296133.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2016,6574756.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2017,6963787.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2018,7511888.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2019,8118236.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Vest,2020,8770308.0
