education,unemployment_degree,district,year,value
Highest education completed total,"[0-0,2]",Amager Vest,2008,1769.0
Highest education completed total,"[0-0,2]",Amager Vest,2009,1792.0
Highest education completed total,"[0-0,2]",Amager Vest,2010,1814.0
Highest education completed total,"[0-0,2]",Amager Vest,2011,1891.0
Highest education completed total,"[0-0,2]",Amager Vest,2012,1949.0
Highest education completed total,"[0-0,2]",Amager Vest,2013,2113.0
Highest education completed total,"[0-0,2]",Amager Vest,2014,1831.0
Highest education completed total,"[0-0,2]",Amager Vest,2015,2044.0
Highest education completed total,"[0-0,2]",Amager Vest,2016,1968.0
Highest education completed total,"[0-0,2]",Amager Vest,2017,2082.0
Highest education completed total,"[0-0,2]",Amager Vest,2018,1954.0
Highest education completed total,"[0-0,2]",Amager Vest,2019,1958.0
Highest education completed total,"[0-0,2]",Amager Vest,2020,2139.0
Highest education completed total,"[0-0,2]",Amager Vest,2021,2063.0
Highest education completed total,"[0-0,2]",Amager Vest,2022,2271.0
Highest education completed total,"[0-0,2]",Amager Vest,2023,1997.0
Highest education completed total,"[0-0,2]",Amager Øst,2008,1698.0
Highest education completed total,"[0-0,2]",Amager Øst,2009,1721.0
Highest education completed total,"[0-0,2]",Amager Øst,2010,1895.0
Highest education completed total,"[0-0,2]",Amager Øst,2011,1864.0
Highest education completed total,"[0-0,2]",Amager Øst,2012,1995.0
Highest education completed total,"[0-0,2]",Amager Øst,2013,1987.0
Highest education completed total,"[0-0,2]",Amager Øst,2014,1840.0
Highest education completed total,"[0-0,2]",Amager Øst,2015,1979.0
Highest education completed total,"[0-0,2]",Amager Øst,2016,1901.0
Highest education completed total,"[0-0,2]",Amager Øst,2017,1967.0
Highest education completed total,"[0-0,2]",Amager Øst,2018,1736.0
Highest education completed total,"[0-0,2]",Amager Øst,2019,1678.0
Highest education completed total,"[0-0,2]",Amager Øst,2020,1922.0
Highest education completed total,"[0-0,2]",Amager Øst,2021,1779.0
Highest education completed total,"[0-0,2]",Amager Øst,2022,1946.0
Highest education completed total,"[0-0,2]",Amager Øst,2023,1740.0
Highest education completed total,"[0-0,2]",Bispebjerg,2008,1740.0
Highest education completed total,"[0-0,2]",Bispebjerg,2009,1861.0
Highest education completed total,"[0-0,2]",Bispebjerg,2010,1892.0
Highest education completed total,"[0-0,2]",Bispebjerg,2011,2103.0
Highest education completed total,"[0-0,2]",Bispebjerg,2012,2023.0
Highest education completed total,"[0-0,2]",Bispebjerg,2013,2073.0
Highest education completed total,"[0-0,2]",Bispebjerg,2014,1896.0
Highest education completed total,"[0-0,2]",Bispebjerg,2015,2090.0
Highest education completed total,"[0-0,2]",Bispebjerg,2016,2205.0
Highest education completed total,"[0-0,2]",Bispebjerg,2017,2131.0
Highest education completed total,"[0-0,2]",Bispebjerg,2018,1977.0
Highest education completed total,"[0-0,2]",Bispebjerg,2019,1900.0
Highest education completed total,"[0-0,2]",Bispebjerg,2020,1928.0
Highest education completed total,"[0-0,2]",Bispebjerg,2021,1880.0
Highest education completed total,"[0-0,2]",Bispebjerg,2022,2018.0
Highest education completed total,"[0-0,2]",Bispebjerg,2023,1960.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2008,1115.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2009,1154.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2010,1098.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2011,1141.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2012,1200.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2013,1203.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2014,1080.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2015,1176.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2016,1157.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2017,1127.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2018,1051.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2019,951.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2020,1034.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2021,934.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2022,1063.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2023,975.0
Highest education completed total,"[0-0,2]",Indre By,2008,1241.0
Highest education completed total,"[0-0,2]",Indre By,2009,1199.0
Highest education completed total,"[0-0,2]",Indre By,2010,1206.0
Highest education completed total,"[0-0,2]",Indre By,2011,1358.0
Highest education completed total,"[0-0,2]",Indre By,2012,1250.0
Highest education completed total,"[0-0,2]",Indre By,2013,1340.0
Highest education completed total,"[0-0,2]",Indre By,2014,1235.0
Highest education completed total,"[0-0,2]",Indre By,2015,1416.0
Highest education completed total,"[0-0,2]",Indre By,2016,1408.0
Highest education completed total,"[0-0,2]",Indre By,2017,1463.0
Highest education completed total,"[0-0,2]",Indre By,2018,1207.0
Highest education completed total,"[0-0,2]",Indre By,2019,1203.0
