district,year,median_log_sqm_price,mean_log_sqm_price,std_log_sqm_price,n_transactions,median_sqm,median_purchase_price,pct_change_median
Amager,1992,8.623725,8.637255,0.32362583,73,100.0,620200.0,0.0
Amager,1993,8.965995,9.206016,0.80349165,147,89.0,878540.0,0.0
Amager,1994,8.842119,9.158404,0.8982423,115,99.0,847000.0,0.0
Amager,1995,8.878304,9.278611,0.97118163,134,92.0,847755.0,0.0
Amager,1996,8.790269,8.779288,0.4347357,125,94.0,603500.0,0.0
Amager,1997,9.000645,9.091295,0.6835676,162,78.0,770153.0,0.0
Amager,1998,9.14272,9.144424,0.4265934,179,80.0,729000.0,0.0
Amager,1999,9.264872,9.180935,0.45951265,156,89.5,834000.0,0.0
Amager,2000,9.388646,9.372446,0.45247167,148,88.0,1013979.5,0.0
Amager,2001,9.559158,9.472142,0.33241257,163,80.0,1042194.0,0.0
Amager,2002,9.671759,9.701531,0.6073949,192,79.0,1252500.0,0.0
Amager,2003,9.760111,9.695069,0.33708537,233,93.0,1484540.0,0.0
Amager,2004,9.860928,9.819012,0.34614193,267,92.0,1812970.0,0.0
Amager,2005,10.061193,10.001811,0.46023068,380,97.0,2200000.0,0.0
Amager,2006,10.264781,10.228407,0.31464675,291,93.0,2575000.0,0.0
Amager,2007,10.210687,10.188552,0.33413568,368,92.5,2594610.0,0.0
Amager,2008,10.097778,10.06403,0.35654968,236,100.5,2535000.0,-3.0
Amager,2009,9.982737,9.927601,0.34048358,245,106.0,2275000.0,-4.0
Amager,2010,10.053356,10.046149,0.29378793,378,107.0,2592500.0,0.0
Amager,2011,10.044393,10.0329,0.33238617,409,102.0,2500000.0,-2.0
Amager,2012,10.081374,10.0565405,0.33157533,537,108.0,2675000.0,-2.0
Amager,2013,10.222595,10.191072,0.32348013,653,107.0,2900000.0,0.0
Amager,2014,10.275068,10.26679,0.28227505,834,104.0,3047500.0,0.0
Amager,2015,10.333913,10.328234,0.2808406,979,97.0,3020000.0,0.0
Amager,2016,10.4151745,10.419564,0.26082337,958,96.0,3225000.0,0.0
Amager,2017,10.520923,10.513597,0.24860393,541,95.0,3450000.0,-1.0
Amager,2018,10.557414,10.559063,0.23695374,1154,94.0,3600000.0,-1.0
Amager,2019,10.545862,10.544319,0.26535043,1221,93.0,3565000.0,-2.0
Amager,2020,10.6124,10.627645,0.2187681,1695,92.0,3650000.0,-1.0
Amager,2021,10.730492,10.739473,0.19530046,1820,89.0,3995000.0,0.0
Amager,2022,10.750932,10.757239,0.21637833,1172,81.0,3800000.0,-2.0
Amager,2023,10.716208,10.719808,0.20889136,1525,82.0,3625000.0,-3.0
Amager,2024,10.76629,10.768577,0.22748104,1045,86.0,3995000.0,-1.0
Bispebjerg,1992,8.714824,8.727347,0.21429913,16,121.0,754000.0,0.0
Bispebjerg,1993,8.70027,8.729662,0.26525202,30,118.5,795000.0,0.0
Bispebjerg,1994,8.776772,8.745749,0.24200462,36,114.0,805000.5,0.0
Bispebjerg,1995,8.874847,8.822649,0.3351596,42,121.0,857300.0,0.0
Bispebjerg,1996,8.773742,8.77472,0.39152893,30,99.0,704820.0,0.0
Bispebjerg,1997,9.019458,8.984777,0.44234616,33,96.0,755000.0,0.0
Bispebjerg,1998,9.273398,9.294165,0.48567402,57,79.0,1334913.0,0.0
Bispebjerg,1999,9.400726,9.421586,0.57765,46,85.5,875000.0,0.0
Bispebjerg,2000,9.458467,9.481813,0.3056245,42,89.5,1150000.0,0.0
