district,year,p10,p50,p90,observed
Amager,2019,36646.53515625,40192.30859375,44244.79296875,38019.79296875
Amager,2020,36603.58984375,42156.359375,47763.5703125,40635.609375
Amager,2021,37074.015625,44123.6640625,52257.8515625,45729.16796875
Amager,2022,36710.203125,45906.1953125,57022.91796875,46673.49609375
Amager,2023,37622.65625,48325.9609375,59525.30078125,45080.65234375
Bispebjerg,2019,28986.125,35994.2734375,43012.45703125,34687.5078125
Bispebjerg,2020,26825.39453125,36438.44140625,48768.5390625,36999.9921875
Bispebjerg,2021,25629.333984375,37975.33203125,56194.2421875,42133.109375
Bispebjerg,2022,24720.60546875,38348.453125,59627.57421875,43137.859375
Bispebjerg,2023,24857.833984375,39704.92578125,67183.734375,41666.671875
Brønshøj-Husum,2019,28014.423828125,32901.6953125,38939.79296875,33403.890625
Brønshøj-Husum,2020,27601.37890625,33562.5703125,41053.89453125,35775.84765625
Brønshøj-Husum,2021,27085.1953125,34333.49609375,45335.97265625,38707.01171875
Brønshøj-Husum,2022,26252.861328125,35587.5390625,48778.42578125,38526.3359375
Brønshøj-Husum,2023,26677.73828125,36787.46484375,51197.37109375,36666.671875
Indre By,2019,47265.84765625,53719.66015625,59581.08203125,50769.234375
Indre By,2020,47090.47265625,56727.6953125,65438.83984375,53571.421875
Indre By,2021,48624.875,58967.8515625,71812.0703125,60591.4765625
Indre By,2022,48022.859375,61842.18359375,77184.9609375,62994.58984375
Indre By,2023,49870.69921875,65786.21875,86086.6796875,60769.25
Nørrebro,2019,38089.2421875,44074.40625,51715.81640625,42075.328125
Nørrebro,2020,36905.44140625,46953.5078125,56893.9765625,45188.69140625
Nørrebro,2021,36570.2421875,48855.625,64041.75,51822.58203125
Nørrebro,2022,36653.42578125,51179.328125,72193.34375,52739.71875
Nørrebro,2023,36776.1328125,54469.4921875,77156.5703125,50990.15625
Valby,2019,33319.25390625,37310.140625,41546.0703125,36093.21875
Valby,2020,33670.359375,38727.046875,45254.6328125,38596.5
Valby,2021,33577.703125,40515.5546875,47862.57421875,44090.10546875
Valby,2022,33476.6953125,41716.46875,51980.96484375,44067.78515625
Valby,2023,33842.56640625,43656.6640625,55773.0,43471.51171875
Vanløse,2019,31796.0,35952.5546875,40371.7734375,35181.34375
Vanløse,2020,31887.919921875,37274.34375,43384.703125,37125.75
Vanløse,2021,30857.904296875,38404.96875,46873.984375,41978.25390625
Vanløse,2022,31616.525390625,39752.8515625,49909.8984375,42227.6796875
Vanløse,2023,31155.236328125,41160.36328125,53355.09375,39119.37890625
Vesterbro/Kongens Enghave,2019,39724.7734375,45187.7265625,50768.65625,44736.828125
Vesterbro/Kongens Enghave,2020,39171.70703125,47129.5546875,57031.921875,50543.578125
Vesterbro/Kongens Enghave,2021,38440.12109375,49283.8515625,61181.109375,56323.5234375
Vesterbro/Kongens Enghave,2022,39465.38671875,50919.6875,67205.140625,56956.15234375
Vesterbro/Kongens Enghave,2023,38131.27734375,54189.015625,71560.8125,55670.09765625
Østerbro,2019,44848.58203125,48753.31640625,54006.2734375,44570.0234375
Østerbro,2020,45037.77734375,51096.3359375,59278.09375,49937.484375
Østerbro,2021,46150.27734375,53818.265625,64575.70703125,57575.73046875
Østerbro,2022,46584.12890625,56856.2734375,70026.546875,58035.71484375
Østerbro,2023,46386.1015625,60166.75,76253.40625,56428.58203125
