district,year,p10,p50,p90,observed
Amager,2019,39490.33203125,43408.7265625,47155.6328125,38019.79296875
Amager,2020,43681.30078125,51646.6796875,59031.23046875,40635.609375
Amager,2021,48696.1015625,60686.6953125,76036.6328125,45729.16796875
Amager,2022,49855.01953125,67568.84375,92820.171875,46673.49609375
Amager,2023,50508.03515625,79508.25,118846.625,45080.65234375
Bispebjerg,2019,33088.69140625,40412.46484375,47743.6328125,34687.5078125
Bispebjerg,2020,35028.25,50190.359375,64863.37109375,36999.9921875
Bispebjerg,2021,35115.3671875,57396.0,85369.2890625,42133.109375
Bispebjerg,2022,34248.16796875,63881.43359375,108296.0703125,43137.859375
Bispebjerg,2023,33372.0546875,72211.84375,151220.484375,41666.671875
Brønshøj-Husum,2019,32163.564453125,35845.46484375,40326.83984375,33403.890625
Brønshøj-Husum,2020,35106.53515625,42017.05078125,48106.21875,35775.84765625
Brønshøj-Husum,2021,37614.26953125,48799.40625,60714.34765625,38707.01171875
Brønshøj-Husum,2022,41175.3984375,55459.04296875,75757.671875,38526.3359375
Brønshøj-Husum,2023,44382.04296875,67525.359375,103434.1796875,36666.671875
Indre By,2019,51253.0859375,56803.7421875,62562.79296875,50769.234375
Indre By,2020,58534.90625,68405.421875,79832.21875,53571.421875
Indre By,2021,64895.203125,80586.7265625,99329.75,60591.4765625
Indre By,2022,66615.9921875,89805.5625,121103.9765625,62994.58984375
Indre By,2023,68345.78125,105471.03125,142095.515625,60769.25
Nørrebro,2019,39966.03515625,45941.1953125,54412.3671875,42075.328125
Nørrebro,2020,42516.71875,55954.66015625,70921.421875,45188.69140625
Nørrebro,2021,42596.54296875,65031.484375,95025.09375,51822.58203125
Nørrebro,2022,38141.99609375,68312.828125,120631.4453125,52739.71875
Nørrebro,2023,32393.458984375,80918.296875,165486.09375,50990.15625
Valby,2019,34233.796875,39183.30078125,44308.40234375,36093.21875
Valby,2020,34434.14453125,43121.390625,53573.8203125,38596.5
Valby,2021,34741.08203125,48398.015625,64504.546875,44090.10546875
Valby,2022,35103.70703125,53660.2265625,77861.8046875,44067.78515625
Valby,2023,34984.23046875,61242.34375,100273.34375,43471.51171875
Vanløse,2019,35623.296875,40108.2421875,43952.94921875,35181.34375
Vanløse,2020,39415.08203125,46635.8828125,53285.5390625,37125.75
Vanløse,2021,43314.45703125,55818.15625,68158.1015625,41978.25390625
Vanløse,2022,45547.67578125,63690.80078125,83236.8203125,42227.6796875
Vanløse,2023,51297.12890625,79920.0625,116459.8828125,39119.37890625
Vesterbro/Kongens Enghave,2019,41410.87890625,48878.08203125,58896.515625,44736.828125
Vesterbro/Kongens Enghave,2020,43529.70703125,56484.8671875,77546.4140625,50543.578125
Vesterbro/Kongens Enghave,2021,40191.9375,64617.6796875,101544.5,56323.5234375
Vesterbro/Kongens Enghave,2022,38965.62890625,69956.640625,129833.7265625,56956.15234375
Vesterbro/Kongens Enghave,2023,34176.234375,77905.03125,180530.96875,55670.09765625
Østerbro,2019,47676.19921875,51978.2734375,57161.5625,44570.0234375
Østerbro,2020,53568.7578125,62037.56640625,72732.390625,49937.484375
Østerbro,2021,58473.21875,75811.3359375,95448.578125,57575.73046875
Østerbro,2022,59995.76953125,83270.84375,121897.1953125,58035.71484375
Østerbro,2023,61788.1015625,98134.234375,160433.75,56428.58203125
