district,year,p10,p50,p90,observed
Amager,2019,38774.71484375,42232.51171875,46257.59375,38019.79296875
Amager,2020,41813.18359375,48168.55078125,55252.9453125,40635.609375
Amager,2021,42965.8046875,53814.34375,66584.84375,45729.16796875
Amager,2022,44219.9921875,57236.5234375,76866.2421875,46673.49609375
Amager,2023,45803.84765625,62720.4453125,90331.0703125,45080.65234375
Bispebjerg,2019,31612.251953125,38991.5234375,47076.90625,34687.5078125
Bispebjerg,2020,31461.025390625,45337.09375,59885.21875,36999.9921875
Bispebjerg,2021,30639.943359375,49914.80859375,75703.515625,42133.109375
Bispebjerg,2022,30782.783203125,53968.2578125,95113.2734375,43137.859375
Bispebjerg,2023,28101.224609375,57762.5,125605.8828125,41666.671875
Brønshøj-Husum,2019,31169.30859375,35448.671875,39247.78515625,33403.890625
Brønshøj-Husum,2020,32315.63671875,40578.2890625,48217.0546875,35775.84765625
Brønshøj-Husum,2021,34261.375,45222.3046875,57554.86328125,38707.01171875
Brønshøj-Husum,2022,34073.5078125,50680.44140625,68201.625,38526.3359375
Brønshøj-Husum,2023,34426.12890625,57580.140625,88201.0234375,36666.671875
Indre By,2019,51534.25,56660.2734375,62394.5546875,50769.234375
Indre By,2020,54864.8125,64008.703125,75851.828125,53571.421875
Indre By,2021,58728.640625,71550.265625,91846.953125,60591.4765625
Indre By,2022,61638.8203125,78297.015625,102848.1328125,62994.58984375
Indre By,2023,64645.2421875,87611.96875,126054.2421875,60769.25
Nørrebro,2019,38702.25390625,45912.8984375,55310.83203125,42075.328125
Nørrebro,2020,41173.74609375,54387.41015625,72932.0,45188.69140625
Nørrebro,2021,40663.47265625,60620.96875,95910.03125,51822.58203125
Nørrebro,2022,35624.015625,65003.71875,112558.28125,52739.71875
Nørrebro,2023,32906.09375,71074.328125,157894.375,50990.15625
Valby,2019,33664.2890625,39195.2109375,44616.19921875,36093.21875
Valby,2020,34819.37890625,42547.2421875,53282.6171875,38596.5
Valby,2021,34888.765625,46236.0546875,62621.9765625,44090.10546875
Valby,2022,34930.61328125,49958.73046875,72032.0703125,44067.78515625
Valby,2023,33862.8671875,54732.265625,88256.984375,43471.51171875
Vanløse,2019,34997.23046875,39822.4453125,43931.4296875,35181.34375
Vanløse,2020,37103.6328125,43978.71875,51769.28125,37125.75
Vanløse,2021,37359.7734375,49789.1640625,61951.65625,41978.25390625
Vanløse,2022,38858.5390625,54182.15625,74829.109375,42227.6796875
Vanløse,2023,41529.9140625,61752.3984375,94926.34375,39119.37890625
Vesterbro/Kongens Enghave,2019,40031.3828125,47314.5,56619.19140625,44736.828125
Vesterbro/Kongens Enghave,2020,39961.796875,52306.234375,70482.9296875,50543.578125
Vesterbro/Kongens Enghave,2021,38141.55078125,58748.1640625,87871.390625,56323.5234375
Vesterbro/Kongens Enghave,2022,35740.6328125,61342.046875,105219.0703125,56956.15234375
Vesterbro/Kongens Enghave,2023,32752.154296875,66310.5,131393.421875,55670.09765625
Østerbro,2019,46072.0,51024.7421875,55929.90625,44570.0234375
Østerbro,2020,48845.60546875,58400.46875,68301.171875,49937.484375
Østerbro,2021,52587.41796875,65071.0078125,85901.53125,57575.73046875
Østerbro,2022,52368.7265625,69899.078125,98878.421875,58035.71484375
Østerbro,2023,54274.578125,76875.15625,120949.2578125,56428.58203125
