district,year,p10,p50,p90,observed
Amager,2019,30698.48987521413,43692.858974341856,55340.63870623703,37257.078125
Amager,2020,30370.5798075791,42841.33489334662,54437.824136761716,40203.3046875
Amager,2021,34552.863674191714,45148.241590590245,59583.42731298426,45325.5859375
Amager,2022,38645.47779656821,50464.860718755604,63034.24580622792,45945.9453125
Amager,2023,39037.825987048804,51852.106189012826,65523.23564582428,44354.83984375
Bispebjerg,2019,25877.39726692633,37779.171418518396,45310.00074865382,33750.0
Bispebjerg,2020,28400.851428857375,38235.4729409159,49043.37204356589,36666.66796875
Bispebjerg,2021,32064.638798081698,40255.7424206101,50450.6312588851,41523.9453125
Bispebjerg,2022,33412.09547767137,45988.1770632431,56118.52892657644,42351.19140625
Bispebjerg,2023,30085.834411243588,45782.77650633969,57605.05306780336,39830.5078125
Brønshøj-Husum,2019,22944.201244166954,35228.00799354052,48006.22607305362,32142.857421875
Brønshøj-Husum,2020,24274.51302596576,37640.93676965588,50639.14588788065,35444.734375
Brønshøj-Husum,2021,26653.81153492232,39294.226788559485,52475.52216267535,38508.7734375
Brønshøj-Husum,2022,28811.233429233427,42293.47252831884,59265.33074918043,38228.1484375
Brønshøj-Husum,2023,28635.32736831516,42239.86436872329,62560.60414012451,36459.85546875
Indre By,2019,24470.65519496371,50883.810509511895,65100.08545069477,48257.6484375
Indre By,2020,24376.79970595637,52779.10890148366,65762.95834740748,52379.03125
Indre By,2021,34816.23808441779,56510.354506589,68322.38498125067,59375.0
Indre By,2022,39954.29682096075,64915.85567598404,76200.39951246587,60723.5234375
Indre By,2023,38104.98390035315,65631.59196293475,76429.26574439241,58217.6171875
Nørrebro,2019,24722.155913183004,45881.41029907299,58303.85912698092,40333.703125
Nørrebro,2020,24067.098895886415,43030.01892257262,53476.79597362013,43642.85546875
Nørrebro,2021,31430.92131055311,48501.66627254065,59775.76177388129,50840.3359375
Nørrebro,2022,31119.862032799654,55146.855469898284,66608.08722384882,50980.390625
Nørrebro,2023,30570.615875303774,56394.13588636785,69480.5057194955,49358.97265625
Valby,2019,25752.439893737286,38166.02095205299,50120.829564347725,35673.078125
Valby,2020,29583.77303540698,40471.45419033196,51958.67281931389,38311.6875
Valby,2021,31947.124837004027,42538.24136732442,53661.62494875703,43406.50390625
Valby,2022,33268.33536780127,46445.638917782504,59801.507934764515,43500.0
Valby,2023,35162.12958815644,47894.41703075645,59868.38060872285,42875.94140625
Vanløse,2019,26433.454565932265,39182.16028925719,53280.7985676514,34577.5703125
Vanløse,2020,28529.30293856771,38340.891490718364,48520.87382374494,36698.11328125
Vanløse,2021,30782.540408688426,40150.90800687984,52619.67239100851,41551.72265625
Vanløse,2022,37753.37457391372,45748.88552052434,63983.33940711513,41666.66796875
Vanløse,2023,33436.16885087348,43610.38184159419,62294.399667372934,38559.3203125
Vesterbro,2019,29312.033866837457,45752.4074864455,59942.78362537893,43303.5703125
Vesterbro,2020,30043.683404245945,47313.3794808237,60458.18186655702,50208.234375
Vesterbro,2021,41520.652347759686,55636.37225316796,66841.0241437865,55952.3828125
Vesterbro,2022,47821.61879020518,60411.59442902295,70146.79246476642,56123.94921875
Vesterbro,2023,42565.478087126896,60852.9286644801,72867.69991797114,54666.66796875
Østerbro,2019,24673.87313900257,48195.284332534255,62010.584024766846,43098.58984375
Østerbro,2020,27610.695172823514,48140.36829096165,59971.255029029126,48811.828125
Østerbro,2021,36739.574093743264,53316.27903782255,65573.14960315949,56753.37890625
Østerbro,2022,40553.63934868117,61122.460590278766,72027.446482863,56349.20703125
Østerbro,2023,38947.84139311212,61660.29026309396,73444.74376252084,54187.19140625
