district,year,p10,p50,p90,observed
Amager,2019,40659.05859375,45113.75,49943.015625,38019.79296875
Amager,2020,46797.859375,53725.859375,61818.55078125,40635.609375
Amager,2021,53935.46484375,64347.75390625,78312.890625,45729.16796875
Amager,2022,61159.13671875,74990.859375,93812.515625,46673.49609375
Amager,2023,72502.3125,93040.234375,121732.0078125,45080.65234375
Bispebjerg,2019,33699.82421875,38424.875,44027.8515625,34687.5078125
Bispebjerg,2020,36885.7421875,44129.3984375,51904.03125,36999.9921875
Bispebjerg,2021,41648.38671875,50309.71875,62256.80859375,42133.109375
Bispebjerg,2022,44768.64453125,57087.29296875,73320.6484375,43137.859375
Bispebjerg,2023,50889.34375,67282.59375,91513.7265625,41666.671875
Brønshøj-Husum,2019,32989.37109375,35643.0,39097.08984375,33403.890625
Brønshøj-Husum,2020,36090.60546875,40780.84765625,45239.921875,35775.84765625
Brønshøj-Husum,2021,40026.21875,46233.16796875,53441.6953125,38707.01171875
Brønshøj-Husum,2022,43360.625,51467.5703125,60975.27734375,38526.3359375
Brønshøj-Husum,2023,48732.1640625,59361.79296875,72597.9609375,36666.671875
Indre By,2019,55989.6015625,63157.69921875,72035.21875,50769.234375
Indre By,2020,65527.13671875,78390.578125,90724.609375,53571.421875
Indre By,2021,80160.625,99699.34375,124846.15625,60591.4765625
Indre By,2022,95925.734375,122815.2109375,162452.234375,62994.58984375
Indre By,2023,117753.703125,160665.15625,221555.953125,60769.25
Nørrebro,2019,40640.9453125,47009.40234375,54211.4140625,42075.328125
Nørrebro,2020,45014.88671875,53796.0,64777.4140625,45188.69140625
Nørrebro,2021,50920.8828125,63595.34375,78830.4921875,51822.58203125
Nørrebro,2022,56178.52734375,72067.8046875,90514.6328125,52739.71875
Nørrebro,2023,64893.71875,85112.890625,113370.3359375,50990.15625
Valby,2019,36787.99609375,40256.29296875,43922.62109375,36093.21875
Valby,2020,40757.05859375,45268.03125,51013.1953125,38596.5
Valby,2021,44920.51171875,52332.640625,59664.609375,44090.10546875
Valby,2022,49627.56640625,58152.42578125,68721.8046875,44067.78515625
Valby,2023,56106.68359375,67596.84375,81912.9609375,43471.51171875
Vanløse,2019,33985.1875,37132.65625,40837.12109375,35181.34375
Vanløse,2020,36375.11328125,40458.296875,45143.0078125,37125.75
Vanløse,2021,38511.26953125,44181.6796875,51111.7421875,41978.25390625
Vanløse,2022,40637.01171875,47547.5234375,55481.44140625,42227.6796875
Vanløse,2023,44183.57421875,53287.66015625,63645.50390625,39119.37890625
Vesterbro/Kongens Enghave,2019,47463.140625,53623.4296875,60865.90625,44736.828125
Vesterbro/Kongens Enghave,2020,53924.34375,63681.5625,74651.8515625,50543.578125
Vesterbro/Kongens Enghave,2021,64678.25,79406.296875,99867.4765625,56323.5234375
Vesterbro/Kongens Enghave,2022,74530.2421875,95534.328125,122656.078125,56956.15234375
Vesterbro/Kongens Enghave,2023,90127.0625,120915.359375,163646.609375,55670.09765625
Østerbro,2019,49186.46484375,55443.55078125,62180.15625,44570.0234375
Østerbro,2020,57233.31640625,66752.9453125,78786.890625,49937.484375
Østerbro,2021,67316.765625,82396.015625,100339.671875,57575.73046875
Østerbro,2022,78412.5546875,96952.8125,125994.296875,58035.71484375
Østerbro,2023,93622.890625,123371.5390625,164737.828125,56428.58203125
