district,year,p10,p50,p90,observed
Amager,2019,40463.41796875,45208.97265625,50366.35546875,38019.79296875
Amager,2020,45721.640625,53129.29296875,62015.54296875,40635.609375
Amager,2021,52701.3828125,63759.28125,78491.8125,45729.16796875
Amager,2022,60191.58984375,74918.765625,94416.375,46673.49609375
Amager,2023,70469.21875,92330.515625,121438.828125,45080.65234375
Bispebjerg,2019,34207.26171875,38539.9296875,44756.671875,34687.5078125
Bispebjerg,2020,36973.49609375,43746.6015625,52132.80859375,36999.9921875
Bispebjerg,2021,41340.5625,50635.8515625,62498.63671875,42133.109375
Bispebjerg,2022,44587.9609375,57666.7890625,73332.609375,43137.859375
Bispebjerg,2023,51857.5625,68052.5859375,90053.7890625,41666.671875
Brønshøj-Husum,2019,32883.8125,35614.59375,38652.48046875,33403.890625
Brønshøj-Husum,2020,35738.40625,40193.6875,44696.94140625,35775.84765625
Brønshøj-Husum,2021,39481.96875,45402.109375,52223.27734375,38707.01171875
Brønshøj-Husum,2022,43330.546875,50723.86328125,60148.13671875,38526.3359375
Brønshøj-Husum,2023,48214.265625,59054.4453125,71478.1484375,36666.671875
Indre By,2019,56671.00390625,62870.265625,71886.453125,50769.234375
Indre By,2020,65418.171875,76637.625,90753.0,53571.421875
Indre By,2021,79055.0625,98452.0546875,122628.34375,60591.4765625
Indre By,2022,92889.5546875,121189.71875,155603.015625,62994.58984375
Indre By,2023,113100.9296875,152796.625,214105.453125,60769.25
Nørrebro,2019,41021.33984375,46871.3984375,53789.39453125,42075.328125
Nørrebro,2020,45204.6875,53508.8203125,64125.26171875,45188.69140625
Nørrebro,2021,49733.4765625,63284.375,77935.0859375,51822.58203125
Nørrebro,2022,54878.26953125,71714.796875,92057.296875,52739.71875
Nørrebro,2023,63215.515625,85497.078125,116731.6953125,50990.15625
Valby,2019,36846.98828125,40065.25,43738.39453125,36093.21875
Valby,2020,40393.76171875,44766.18359375,50664.04296875,38596.5
Valby,2021,44457.76953125,51521.296875,60759.53515625,44090.10546875
Valby,2022,48977.43359375,57870.1171875,68359.2890625,44067.78515625
Valby,2023,55660.7578125,66653.40625,82586.296875,43471.51171875
Vanløse,2019,34249.09765625,37111.1875,40763.1796875,35181.34375
Vanløse,2020,35948.7265625,40341.2265625,44813.0625,37125.75
Vanløse,2021,38282.1015625,43869.6796875,50170.53515625,41978.25390625
Vanløse,2022,39990.0859375,47117.296875,54438.11328125,42227.6796875
Vanløse,2023,44253.359375,52902.171875,62430.90234375,39119.37890625
Vesterbro/Kongens Enghave,2019,47403.85546875,53619.6484375,60253.8671875,44736.828125
Vesterbro/Kongens Enghave,2020,52934.73828125,62910.1171875,74484.546875,50543.578125
Vesterbro/Kongens Enghave,2021,64295.1015625,78547.21875,96902.9375,56323.5234375
Vesterbro/Kongens Enghave,2022,73359.6640625,93366.671875,121377.3046875,56956.15234375
Vesterbro/Kongens Enghave,2023,88318.9296875,117579.40625,159271.390625,55670.09765625
Østerbro,2019,49097.2578125,55480.25,62506.890625,44570.0234375
Østerbro,2020,55959.41796875,66244.6171875,77952.1484375,49937.484375
Østerbro,2021,67057.734375,82374.78125,100849.640625,57575.73046875
Østerbro,2022,77407.25,98011.0,122157.21875,58035.71484375
Østerbro,2023,92750.7890625,122943.140625,166183.234375,56428.58203125
